text,label,group
URGENT your bank account is locked verify immediately,spam,legacy_0
Congratulations you won a free cash prize claim now,spam,legacy_1
Click this link to verify your account or it will be suspended,spam,legacy_2
Your OTP is needed to confirm your prize,spam,legacy_3
Limited time offer you have been selected for a reward,spam,legacy_4
You have won a 100000 prize call now to claim,spam,legacy_5
Your payment failed update your card at this link,spam,legacy_6
Security alert reset your password immediately,spam,legacy_7
Free voucher waiting click to collect,spam,legacy_8
FINAL NOTICE account suspension verify identity,spam,legacy_9
Exclusive loan approved apply now with zero paperwork,spam,legacy_10
Winner winner claim your reward before midnight,spam,legacy_11
Your bank security requires immediate verification,spam,legacy_12
You are eligible for a free gift click here,spam,legacy_13
Act now to receive your cash reward,spam,legacy_14
Unusual login detected confirm your password,spam,legacy_15
Get rich quick send a small fee to receive prize,spam,legacy_16
Your account has been selected for a bonus offer,spam,legacy_17
Click the link to unlock your account,spam,legacy_18
Congratulations claim your lottery winnings today,spam,legacy_19
Are we still meeting for lunch today,ham,legacy_20
Please send me the project report tomorrow,ham,legacy_21
Don't forget to buy milk on your way home,ham,legacy_22
Can you call me when you are free,ham,legacy_23
The class starts at nine tomorrow morning,ham,legacy_24
Thanks for sending the files I will review them,ham,legacy_25
Are you coming to the security lecture,ham,legacy_26
Please bring your laptop to class,ham,legacy_27
Happy birthday hope you have a great day,ham,legacy_28
I will be late by ten minutes,ham,legacy_29
Can you share the notes from today's lecture,ham,legacy_30
Let's meet at the library after class,ham,legacy_31
Dinner is ready when you get home,ham,legacy_32
Please remind me about the assignment,ham,legacy_33
I finished the coding task we discussed,ham,legacy_34
What time is the football match,ham,legacy_35
Thank you for helping me with the project,ham,legacy_36
I will send the document this evening,ham,legacy_37
See you tomorrow at college,ham,legacy_38
Can you review my presentation,ham,legacy_39
URGENT: verify your account immediately before access is blocked.,spam,spam_group_0
URGENT! Please verify your account immediately before access is blocked.,spam,spam_group_0
URGENT — verify your account immediately; before access is blocked.,spam,spam_group_0
FINAL NOTICE: send the verification code to unlock the bonus.,spam,spam_group_1
FINAL NOTICE! Please send the verification code to unlock the bonus.,spam,spam_group_1
FINAL NOTICE — send the verification code; to unlock the bonus.,spam,spam_group_1
SECURITY ALERT: complete verification before midnight to collect the voucher.,spam,spam_group_2
SECURITY ALERT! Please complete verification before midnight to collect the voucher.,spam,spam_group_2
SECURITY ALERT — complete verification before midnight; to collect the voucher.,spam,spam_group_2
IMPORTANT NOTICE: click the link to continue to complete the security check.,spam,spam_group_3
IMPORTANT NOTICE! Please click the link to continue to complete the security check.,spam,spam_group_3
IMPORTANT NOTICE — click the link to continue; to complete the security check.,spam,spam_group_3
ACTION REQUIRED: claim your prize today before the deadline.,spam,spam_group_4
ACTION REQUIRED! Please claim your prize today before the deadline.,spam,spam_group_4
ACTION REQUIRED — claim your prize today; before the deadline.,spam,spam_group_4
IMMEDIATE ACTION REQUIRED: share the one-time password to receive your cash prize.,spam,spam_group_5
IMMEDIATE ACTION REQUIRED! Please share the one-time password to receive your cash prize.,spam,spam_group_5
IMMEDIATE ACTION REQUIRED — share the one-time password; to receive your cash prize.,spam,spam_group_5
LAST WARNING: update your card details and confirm your credentials.,spam,spam_group_6
LAST WARNING! Please update your card details and confirm your credentials.,spam,spam_group_6
LAST WARNING — update your card details; and confirm your credentials.,spam,spam_group_6
ACCOUNT ALERT: provide your banking details to avoid a service interruption.,spam,spam_group_7
ACCOUNT ALERT! Please provide your banking details to avoid a service interruption.,spam,spam_group_7
ACCOUNT ALERT — provide your banking details; to avoid a service interruption.,spam,spam_group_7
Congratulations: respond immediately to avoid suspension to release the funds.,spam,spam_group_8
Congratulations! Please respond immediately to avoid suspension to release the funds.,spam,spam_group_8
Congratulations — respond immediately to avoid suspension; to release the funds.,spam,spam_group_8
You have won: reset your password immediately before the offer expires.,spam,spam_group_9
You have won! Please reset your password immediately before the offer expires.,spam,spam_group_9
You have won — reset your password immediately; before the offer expires.,spam,spam_group_9
Winner selected: unlock your account using this link to receive the reward.,spam,spam_group_10
Winner selected! Please unlock your account using this link to receive the reward.,spam,spam_group_10
Winner selected — unlock your account using this link; to receive the reward.,spam,spam_group_10
Exclusive reward: confirm your identity now or your account will be suspended.,spam,spam_group_11
Exclusive reward! Please confirm your identity now or your account will be suspended.,spam,spam_group_11
