text,label
URGENT your bank account is locked verify immediately,spam
Congratulations you won a free cash prize claim now,spam
Click this link to verify your account or it will be suspended,spam
Your OTP is needed to confirm your prize,spam
Limited time offer you have been selected for a reward,spam
You have won a 100000 prize call now to claim,spam
Your payment failed update your card at this link,spam
Security alert reset your password immediately,spam
Free voucher waiting click to collect,spam
FINAL NOTICE account suspension verify identity,spam
Exclusive loan approved apply now with zero paperwork,spam
Winner winner claim your reward before midnight,spam
Your bank security requires immediate verification,spam
You are eligible for a free gift click here,spam
Act now to receive your cash reward,spam
Unusual login detected confirm your password,spam
Get rich quick send a small fee to receive prize,spam
Your account has been selected for a bonus offer,spam
Click the link to unlock your account,spam
Congratulations claim your lottery winnings today,spam
Are we still meeting for lunch today,ham
Please send me the project report tomorrow,ham
Don't forget to buy milk on your way home,ham
Can you call me when you are free,ham
The class starts at nine tomorrow morning,ham
Thanks for sending the files I will review them,ham
Are you coming to the security lecture,ham
Please bring your laptop to class,ham
Happy birthday hope you have a great day,ham
I will be late by ten minutes,ham
Can you share the notes from today's lecture,ham
Let's meet at the library after class,ham
Dinner is ready when you get home,ham
Please remind me about the assignment,ham
I finished the coding task we discussed,ham
What time is the football match,ham
Thank you for helping me with the project,ham
I will send the document this evening,ham
See you tomorrow at college,ham
Can you review my presentation,ham
